trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.5, 'e': 0.140858420921045}",25,18,11.296140398269443,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.13806923731089282}",20,11,16.88197605891032,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,19,8.145717099259649,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.13265546508012172}",25,3,24.473448182073838,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.1300287108784259}",20,0,25.457703044268584,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.12745396989482075}",25,7,11.3611708530935,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.12493021219858241}",35,12,15.544043841406316,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,0,-49.46914502574541,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.12003162851145673}",20,10,21.417456022414544,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11765484302177918}",20,8,22.724925057948894,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11532512103806251}",25,11,22.527152664775695,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.11304153064044985}",20,11,16.58457580586763,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.11080315836233387}",25,15,14.78790369518418,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.10860910882495796}",25,1,37.00295241335075,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.1064585043792528}",25,11,17.830155857357216,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.104350484754765}",25,18,12.747647557803123,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.10228420671553744}",30,12,26.954516049450252,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.1002588437228037}",20,13,11.316119349077795,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.09827358560436154}",20,5,24.432290378788814,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.09632763823049303}",20,3,-25.977196813574043,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.09442022319630235}",30,8,41.68394941387988,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.09255057751034329}",20,13,12.63059044435328,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.09071795328941251}",30,8,25.22961553605177,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.08892161745938634}",20,8,10.261849949261823,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.0871608514619813}",20,12,12.628253703171106,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.08543495096732123}",20,8,22.08404694686526,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.08374322559219596}",30,22,11.290931147697618,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,13,16.542633110905946,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.08045960674953244}",20,0,-8.128698561767798,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.07886639979067495}",20,4,28.23314949789507,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.07730474044329974}",25,15,5.93065875874867,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.07577400402284548}",20,5,26.20558947940289,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.07427357821433388}",20,12,14.524010560085038,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.07280286282743559}",30,8,42.47544442208247,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.07136126955638605}",20,8,21.9707299895598,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.06994822174465536}",25,11,25.202539516622238,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.06856315415427791}",25,4,19.287611936989244,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.06720551273974976}",25,16,16.720245173972128,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.06587475442640295}",20,0,18.17366009298513,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.06457034689316847}",20,14,11.002220029526821,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
